CustomerID,Recency,Frequency,Monetary,UniqueItemsPurchased,AvgDaysBetweenPurchases,FavoriteShoppingHour,Is_UK,Cancellation_Frequency,Cancellation_Rate,Total_Spend,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,FavoriteShoppingDay
12346,325,2,0.0,1,0.0,10,1,1.0,0.5,0.0,0.0,0.0,0.0,1
12347,1,7,4310.0,103,2.0,14,0,0.0,0.0,4310.0,615.7142857142857,341.07078946836157,4.486071428571431,1
12348,74,4,1437.24,21,10.0,19,0,0.0,0.0,1437.24,359.31,203.87568859479052,-100.88399999999999,3
12349,18,1,1457.55,72,0.0,9,0,0.0,0.0,1457.55,1457.55,0.0,0.0,0
12350,309,1,294.4,16,0.0,16,0,0.0,0.0,294.4,294.4,0.0,0.0,2
12352,35,8,1265.41,57,3.0,14,0,1.0,0.125,1265.41,316.3525,134.700628896082,9.350999999999996,1
12353,203,1,89.0,4,0.0,17,0,0.0,0.0,89.0,89.0,0.0,0.0,3
12354,231,1,1079.4,58,0.0,13,0,0.0,0.0,1079.4,1079.4,0.0,0.0,3
12355,213,1,459.4,13,0.0,13,0,0.0,0.0,459.4,459.4,0.0,0.0,0
12356,22,3,2487.43,52,5.0,9,0,0.0,0.0,2487.43,829.1433333333333,991.4625854934382,-944.6349999999999,1
12357,32,1,6207.67,131,0.0,16,0,0.0,0.0,6207.67,6207.67,0.0,0.0,6
12358,1,2,928.0600000000001,12,9.0,10,0,0.0,0.0,928.0600000000001,464.03000000000003,83.67901648561606,118.34000000000003,1
12359,7,6,6245.53,214,1.0,12,0,2.0,0.3333333333333333,6245.53,1040.9216666666666,1157.2989007757099,30.434000000000005,3
12360,51,3,2302.06,104,1.0,15,0,0.0,0.0,2302.06,767.3533333333334,270.7657477106979,0.10000000000002274,1
12361,286,1,174.9,9,0.0,13,0,0.0,0.0,174.9,174.9,0.0,0.0,4
12362,2,13,4665.58,200,1.0,15,0,3.0,0.23076923076923078,4665.58,583.1975,393.99228483200386,46.82404761904762,3
12363,109,2,552.0,23,6.0,13,0,0.0,0.0,552.0,276.0,32.668333290818495,-46.20000000000002,0
12364,7,4,1208.1,69,1.0,15,0,0.0,0.0,1208.1,302.025,211.40655138066717,-64.654,4
12365,290,1,320.69,21,0.0,13,0,0.0,0.0,320.69,320.69,0.0,0.0,0
12367,3,1,150.9,10,0.0,16,0,0.0,0.0,150.9,150.9,0.0,0.0,0
12370,50,4,3425.69,142,1.0,12,0,0.0,0.0,3425.69,1141.8966666666668,534.2755089215051,-504.37,1
12371,59,1,1527.96,62,0.0,10,0,0.0,0.0,1527.96,1527.96,0.0,0.0,1
12372,71,3,1196.04,33,4.0,12,0,0.0,0.0,1196.04,398.68,70.34687484174401,-5.050000000000011,2
12373,310,1,324.6,13,0.0,13,0,0.0,0.0,324.6,324.6,0.0,0.0,1
12374,24,1,622.93,32,0.0,15,0,0.0,0.0,622.93,622.93,0.0,0.0,0
12375,2,3,375.42,13,6.0,14,0,1.0,0.3333333333333333,375.42,125.14,110.18665436431039,-96.19,4
12377,314,2,1548.12,71,0.0,9,0,0.0,0.0,1548.12,774.06,321.67701689738414,-454.91999999999996,0
12378,129,1,4008.62,219,0.0,10,0,0.0,0.0,4008.62,4008.62,0.0,0.0,1
12379,81,3,775.29,38,2.0,10,0,1.0,0.3333333333333333,775.29,258.43,227.01497021121756,-26.21999999999997,0
12380,21,5,2423.56,76,1.0,11,0,1.0,0.2,2423.56,605.89,210.4794672487873,82.21199999999997,4
12381,4,4,1433.46,69,1.0,9,0,1.0,0.25,1433.46,477.82,456.29813641960016,-440.19,4
12383,184,6,1617.31,83,1.0,14,0,1.0,0.16666666666666666,1617.31,323.462,236.76986309494717,-142.529,2
12384,28,3,406.16,25,3.0,11,0,1.0,0.3333333333333333,406.16,135.38666666666668,133.79804943770046,-0.05499999999999261,2
12386,337,2,401.9,10,3.0,9,0,0.0,0.0,401.9,200.95,81.95367593952083,-115.89999999999998,2
12388,15,6,2780.66,57,3.0,11,0,0.0,0.0,2780.66,463.4433333333333,327.1524836321233,59.20857142857143,3
12390,79,1,504.84000000000003,31,0.0,9,0,0.0,0.0,504.84000000000003,504.84000000000003,0.0,0.0,2
12391,21,1,460.89,92,0.0,12,0,0.0,0.0,460.89,460.89,0.0,0.0,4
12393,71,4,1582.6000000000001,47,4.0,9,0,0.0,0.0,1582.6000000000001,527.5333333333333,109.0752186948682,-58.99999999999999,2
12394,63,2,1080.48,25,6.0,14,0,0.0,0.0,1080.48,540.24,267.5126374584946,378.32,4
12395,15,15,2662.28,90,2.0,16,0,3.0,0.2,2662.28,295.80888888888893,219.91504998774212,18.175166666666673,4
12397,35,2,2214.9,109,0.0,14,0,0.0,0.0,2214.9,1107.4499999999998,3.337544007200443,-4.720000000000027,2
12398,45,1,1435.66,84,0.0,10,0,0.0,0.0,1435.66,1435.66,0.0,0.0,1
12399,118,4,1033.65,46,2.0,10,0,0.0,0.0,1033.65,258.4125,143.6191522453279,-57.11100000000001,1
12401,302,1,69.3,4,0.0,13,0,0.0,0.0,69.3,69.3,0.0,0.0,2
12402,322,1,195.6,10,0.0,13,0,0.0,0.0,195.6,195.6,0.0,0.0,3
12403,49,1,391.7,4,0.0,10,0,0.0,0.0,391.7,391.7,0.0,0.0,4
12405,148,1,1390.39,53,0.0,8,0,0.0,0.0,1390.39,1390.39,0.0,0.0,3
12406,21,3,3280.75,92,1.0,19,0,1.0,0.3333333333333333,3280.75,1093.5833333333333,1067.0982022913042,86.39999999999998,3
12407,49,5,1507.1200000000001,56,3.0,9,0,0.0,0.0,1507.1200000000001,376.78,277.27468306115986,71.21199999999999,2
12408,32,8,2587.57,80,2.0,10,0,3.0,0.375,2587.57,517.5139999999999,314.309602669088,44.543,4
12409,78,7,11056.93,91,0.0,12,0,4.0,0.5714285714285714,11056.93,3685.6433333333334,3266.8830195820196,-676.1399999999999,4
12410,300,3,521.08,25,0.0,10,0,1.0,0.3333333333333333,521.08,521.08,0.0,0.0,4
12412,74,3,1142.88,42,1.0,13,0,0.0,0.0,1142.88,380.96000000000004,88.39763118998155,-86.18,0
12413,66,4,676.15,28,7.0,16,0,1.0,0.25,676.15,225.38333333333335,170.7237705573929,-119.54999999999998,3
