CustomerID,Cluster,Recency,Frequency,Monetary,UniqueItemsPurchased,AvgDaysBetweenPurchases,FavoriteShoppingHour,Is_UK,Cancellation_Frequency,Cancellation_Rate,Total_Spend,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,FavoriteShoppingDay,Rec1_StockCode,Rec1_Description,Rec2_StockCode,Rec2_Description,Rec3_StockCode,Rec3_Description
12347.0,0,1,7,4310.0,103,2.0,14,0,0.0,0.0,4310.0,615.7142857142857,341.0707894683616,4.486071428571431,1,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12348.0,0,74,4,1437.24,21,10.0,19,0,0.0,0.0,1437.24,359.31,203.8756885947905,-100.884,3,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,84879,ASSORTED COLOUR BIRD ORNAMENT
12349.0,0,18,1,1457.55,72,0.0,9,0,0.0,0.0,1457.55,1457.55,0.0,0.0,0,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12358.0,0,1,2,928.06,12,9.0,10,0,0.0,0.0,928.06,464.03,83.67901648561606,118.34000000000005,1,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12360.0,0,51,3,2302.06,104,1.0,15,0,0.0,0.0,2302.06,767.3533333333334,270.7657477106979,0.1000000000000227,1,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12363.0,0,109,2,552.0,23,6.0,13,0,0.0,0.0,552.0,276.0,32.668333290818495,-46.20000000000002,0,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12364.0,0,7,4,1208.1,69,1.0,15,0,0.0,0.0,1208.1,302.025,211.4065513806672,-64.654,4,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12371.0,0,59,1,1527.96,62,0.0,10,0,0.0,0.0,1527.96,1527.96,0.0,0.0,1,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12372.0,0,71,3,1196.04,33,4.0,12,0,0.0,0.0,1196.04,398.68,70.34687484174401,-5.050000000000011,2,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12377.0,0,314,2,1548.12,71,0.0,9,0,0.0,0.0,1548.12,774.06,321.67701689738414,-454.92,0,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12386.0,0,337,2,401.9,10,3.0,9,0,0.0,0.0,401.9,200.95,81.95367593952083,-115.89999999999998,2,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12388.0,0,15,6,2780.66,57,3.0,11,0,0.0,0.0,2780.66,463.4433333333333,327.1524836321233,59.20857142857143,3,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12391.0,0,21,1,460.89,92,0.0,12,0,0.0,0.0,460.89,460.89,0.0,0.0,4,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12393.0,0,71,4,1582.6,47,4.0,9,0,0.0,0.0,1582.6,527.5333333333333,109.0752186948682,-58.99999999999999,2,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12394.0,0,63,2,1080.48,25,6.0,14,0,0.0,0.0,1080.48,540.24,267.5126374584946,378.32,4,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12397.0,0,35,2,2214.9,109,0.0,14,0,0.0,0.0,2214.9,1107.4499999999998,3.337544007200443,-4.720000000000027,2,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12398.0,0,45,1,1435.66,84,0.0,10,0,0.0,0.0,1435.66,1435.66,0.0,0.0,1,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12399.0,0,118,4,1033.65,46,2.0,10,0,0.0,0.0,1033.65,258.4125,143.6191522453279,-57.11100000000001,1,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
12405.0,0,148,1,1390.39,53,0.0,8,0,0.0,0.0,1390.39,1390.39,0.0,0.0,3,16014,SMALL CHINESE STYLE SCISSOR,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,22616,PACK OF 12 LONDON TISSUES 
