Principal Component,Explained Variance Ratio,Cumulative Explained Variance
1,0.33490423841734346,0.33490423841734346
2,0.1322982555999796,0.46720249401732306
3,0.09553520451775313,0.5627376985350762
4,0.08573338682038315,0.6484710853554593
5,0.07950301852936936,0.7279741038848286
6,0.07203766743207557,0.8000117713169042
7,0.07017565000831441,0.8701874213252185
8,0.05459789432610308,0.9247853156513216
9,0.030426703372637278,0.9552120190239589
10,0.02719856693441335,0.9824105859583723
11,0.009756100290953367,0.9921666862493257
12,0.007833313750674257,1.0
13,0.0,1.0
